,id,name,party,constituency,start_date
483,1528,Rt Hon Sir Mike Penning MP,Conservative,Hemel Hempstead,2005-05-05
484,4520,Matthew Pennycook MP,Labour,Greenwich and Woolwich,2015-05-07
485,1584,John Penrose MP,Conservative,Weston-super-Mare,2005-05-05
486,3939,Andrew Percy MP,Conservative,Brigg and Goole,2010-05-06
487,3952,Mr Toby Perkins MP,Labour,Chesterfield,2010-05-06
488,4370,Jess Phillips MP,Labour,"Birmingham, Yardley",2015-05-07
489,4046,Bridget Phillipson MP,Labour,Houghton and Sunderland South,2010-05-06
490,4503,Rt Hon Chris Philp MP,Conservative,Croydon South,2015-05-07
491,4682,Luke Pollard MP,Labour (Co-op),"Plymouth, Sutton and Devonport",2017-06-08
492,3932,Dr Dan Poulter MP,Conservative,Central Suffolk and North Ipswich,2010-05-06
493,4522,Rebecca Pow MP,Conservative,Taunton Deane,2015-05-07
494,4263,Lucy Powell MP,Labour (Co-op),Manchester Central,2012-11-15
495,4401,Rt Hon Victoria Prentis MP,Conservative,Banbury,2015-05-07
496,1576,Rt Hon Mark Pritchard MP,Conservative,The Wrekin,2005-05-05
497,4369,Tom Pursglove MP,Conservative,Corby,2015-05-07
498,4917,Ms Anum Qaisar MP,Scottish National Party,Airdrie and Shotts,2021-05-13
499,4507,Rt Hon Jeremy Quin MP,Conservative,Horsham,2015-05-07
500,4423,Will Quince MP,Conservative,Colchester,2015-05-07
501,3924,Yasmin Qureshi MP,Labour,Bolton South East,2010-05-06
502,4007,Rt Hon Dominic Raab MP,Conservative,Esher and Walton,2010-05-06
503,4845,Tom Randall MP,Conservative,Gedling,2019-12-12
504,4356,Rt Hon Angela Rayner MP,Labour,Ashton-under-Lyne,2015-05-07
505,14,Rt Hon John Redwood MP,Conservative,Wokingham,1987-06-11
506,4268,Steve Reed MP,Labour (Co-op),Croydon North,2012-11-29
507,4525,Christina Rees MP,Independent,Neath,2015-05-07
508,4099,Rt Hon Sir Jacob Rees-Mogg MP,Conservative,North East Somerset,2010-05-06
509,4620,Ellie Reeves MP,Labour,Lewisham West and Penge,2017-06-08
510,4031,Rt Hon Rachel Reeves MP,Labour,Leeds West,2010-05-06
511,4119,Jonathan Reynolds MP,Labour (Co-op),Stalybridge and Hyde,2010-05-06
512,4764,Bell Ribeiro-Addy MP,Labour,Streatham,2019-12-12
513,4868,Nicola Richards MP,Conservative,West Bromwich East,2019-12-12
514,4840,Angela Richardson MP,Conservative,Guildford,2019-12-12
515,4457,Ms Marie Rimmer MP,Labour,St Helens South and Whiston,2015-05-07
516,4810,Mr Rob Roberts MP,Independent,Delyn,2019-12-12
517,253,Mr Laurence Robertson MP,Conservative,Tewkesbury,1997-05-01
518,4360,Gavin Robinson MP,Democratic Unionist Party,Belfast East,2015-05-07
519,4406,Mary Robinson MP,Conservative,Cheadle,2015-05-07
520,4654,Matt Rodda MP,Labour,Reading East,2017-06-08
521,1447,Andrew Rosindell MP,Conservative,Romford,2001-06-07
522,4627,Douglas Ross MP,Conservative,Moray,2017-06-08
523,4652,Lee Rowley MP,Conservative,North East Derbyshire,2017-06-08
524,4812,Dean Russell MP,Conservative,Watford,2019-12-12
525,4615,Lloyd Russell-Moyle MP,Labour (Co-op),"Brighton, Kemptown",2017-06-08
526,4033,David Rutley MP,Conservative,Macclesfield,2010-05-06
527,4760,Gary Sambrook MP,Conservative,"Birmingham, Northfield",2019-12-12
528,4521,Rt Hon Liz Saville Roberts MP,Plaid Cymru,Dwyfor Meirionnydd,2015-05-07
529,4863,Selaine Saxby MP,Conservative,North Devon,2019-12-12
530,4414,Paul Scully MP,Conservative,Sutton and Cheam,2015-05-07
531,4681,Bob Seely MP,Conservative,Isle of Wight,2017-06-08
532,1453,Andrew Selous MP,Conservative,South West Bedfordshire,2001-06-07
533,4409,Naz Shah MP,Labour,Bradford West,2015-05-07
534,4998,Michael Shanks MP,Labour,Rutherglen and Hamilton West,2023-10-05
535,4131,Jim Shannon MP,Democratic Unionist Party,Strangford,2010-05-06
536,1582,Rt Hon Grant Shapps MP,Conservative,Welwyn Hatfield,2005-05-05
537,4014,Rt Hon Sir Alok Sharma MP,Conservative,Reading West,2010-05-06
538,1604,Mr Virendra Sharma MP,Labour,"Ealing, Southall",2007-07-19
539,411,Mr Barry Sheerman MP,Labour (Co-op),Huddersfield,1979-05-03
540,3997,Rt Hon Alec Shelbrooke MP,Conservative,Elmet and Rothwell,2010-05-06
541,4453,Tommy Sheppard MP,Scottish National Party,Edinburgh East,2015-05-07
542,4518,Tulip Siddiq MP,Labour,Hampstead and Kilburn,2015-05-07
543,4872,David Simmonds MP,Conservative,"Ruislip, Northwood and Pinner",2019-12-12
544,4021,Rt Hon Chris Skidmore MP,Conservative,Kingswood,2010-05-06
545,1516,Andy Slaughter MP,Labour,Hammersmith,2005-05-05
546,4738,Alyn Smith MP,Scottish National Party,Stirling,2019-12-12
547,4436,Cat Smith MP,Labour,Lancaster and Fleetwood,2015-05-07
548,1609,Rt Hon Chloe Smith MP,Conservative,Norwich North,2009-07-23
549,4778,Greg Smith MP,Conservative,Buckingham,2019-12-12
550,3960,Henry Smith MP,Conservative,Crawley,2010-05-06
551,4456,Jeff Smith MP,Labour,"Manchester, Withington",2015-05-07
552,4118,Rt Hon Julian Smith MP,Conservative,Skipton and Ripon,2010-05-06
553,3928,Nick Smith MP,Labour,Blaenau Gwent,2010-05-06
554,4478,Royston Smith MP,Conservative,"Southampton, Itchen",2015-05-07
555,4444,Karin Smyth MP,Labour,Bristol South,2015-05-07
556,4658,Alex Sobel MP,Labour (Co-op),Leeds North West,2017-06-08
557,4372,Amanda Solloway MP,Conservative,Derby North,2019-12-12
558,318,Rt Hon John Spellar MP,Labour,Warley,1992-04-09
559,4785,Dr Ben Spencer MP,Conservative,Runnymede and Weybridge,2019-12-12
560,4055,Rt Hon Mark Spencer MP,Conservative,Sherwood,2010-05-06
561,4866,Alexander Stafford MP,Conservative,Rother Valley,2019-12-12
562,4514,Rt Hon Keir Starmer MP,Labour,Holborn and St Pancras,2015-05-07
563,4463,Chris Stephens MP,Scottish National Party,Glasgow South West,2015-05-07
564,4044,Rt Hon Andrew Stephenson MP,Conservative,Pendle,2010-05-06
565,4425,Jo Stevens MP,Labour,Cardiff Central,2015-05-07
566,4750,Jane Stevenson MP,Conservative,Wolverhampton North East,2019-12-12
567,3942,John Stevenson MP,Conservative,Carlisle,2010-05-06
568,3919,Rt Hon Bob Stewart MP,Independent,Beckenham,2010-05-06
569,4015,Iain Stewart MP,Conservative,Milton Keynes South,2010-05-06
570,4612,Jamie Stone MP,Liberal Democrat,"Caithness, Sutherland and Easter Ross",2017-06-08
571,5000,Alistair Strathern MP,Labour,Mid Bedfordshire,2023-10-19
572,234,Sir Gary Streeter MP,Conservative,South West Devon,1992-04-09
573,4504,Wes Streeting MP,Labour,Ilford North,2015-05-07
574,3935,Rt Hon Mel Stride MP,Conservative,Central Devon,2010-05-06
575,449,Graham Stringer MP,Labour,Blackley and Broughton,1997-05-01
576,1482,Rt Hon Graham Stuart MP,Conservative,Beverley and Holderness,2005-05-05
577,4079,Julian Sturdy MP,Conservative,York Outer,2010-05-06
578,4786,Zarah Sultana MP,Labour,Coventry South,2019-12-12
579,4483,Rt Hon Rishi Sunak MP,Conservative,Richmond (Yorks),2015-05-07
580,4767,James Sunderland MP,Conservative,Bracknell,2019-12-12
581,55,Rt Hon Sir Desmond Swayne MP,Conservative,New Forest West,1997-05-01
582,245,Sir Robert Syms MP,Conservative,Poole,1997-05-01
